week_ending,retailer,region,brand,sku,price,units,dollars,promo_flag,feature_display,stores_selling,on_promo,featured
2024-03-03,Target,Northeast,Garrett,Cheddar 10oz,7.89,25,197.25,1,0,410,Yes,No
2024-03-03,Target,Northeast,Garrett,Variety 12pk,18.99,12,227.88,0,0,430,No,No
2024-03-03,Target,Northeast,Competitor A,Cheddar 6oz,5.49,36,197.64,0,0,565,No,No
2024-03-03,Target,Northeast,Competitor A,Caramel 6oz,5.29,30,158.7,0,0,582,No,No
2024-03-03,Target,Northeast,Competitor A,Mix 10oz,8.99,36,323.64,0,0,577,No,No
2024-03-03,Target,Northeast,Competitor A,Caramel 10oz,6.98,36,251.28,1,0,567,Yes,No
2024-03-03,Target,Northeast,Competitor A,Cheddar 10oz,8.79,29,254.91,0,1,572,No,Yes
2024-03-03,Target,Northeast,Competitor A,Variety 12pk,18.99,18,341.82,0,1,553,No,Yes
2024-03-03,Target,Northeast,Competitor B,Cheddar 6oz,5.49,15,82.35,0,0,376,No,No
2024-03-03,Target,Northeast,Competitor B,Caramel 6oz,5.29,14,74.06,0,0,384,No,No
2024-03-03,Target,Northeast,Competitor B,Mix 10oz,7.5,18,135.0,1,0,374,Yes,No
2024-03-03,Target,Northeast,Competitor B,Caramel 10oz,8.49,12,101.88,0,0,387,No,No
2024-03-03,Target,Northeast,Competitor B,Cheddar 10oz,8.79,14,123.06,0,0,389,No,No
2024-03-03,Target,Northeast,Competitor B,Variety 12pk,18.99,7,132.93,0,0,375,No,No
2024-03-03,Target,South,Garrett,Cheddar 6oz,5.49,17,93.33,0,0,415,No,No
2024-03-03,Target,South,Garrett,Caramel 6oz,5.29,15,79.35,0,1,424,No,Yes
2024-03-03,Target,South,Garrett,Mix 10oz,7.91,23,181.93,1,1,390,Yes,Yes
2024-03-03,Target,South,Garrett,Caramel 10oz,7.52,16,120.32,1,0,406,Yes,No
2024-03-03,Target,South,Garrett,Cheddar 10oz,8.79,14,123.06,0,0,423,No,No
2024-03-03,Target,South,Garrett,Variety 12pk,14.76,14,206.64,1,0,423,Yes,No
2024-03-03,Target,South,Competitor A,Cheddar 6oz,5.49,35,192.15,0,1,583,No,Yes
2024-03-03,Target,South,Competitor A,Caramel 6oz,4.26,31,132.06,1,0,568,Yes,No
2024-03-03,Target,South,Competitor A,Mix 10oz,8.99,35,314.65,0,1,547,No,Yes
2024-03-03,Target,South,Competitor A,Caramel 10oz,8.49,20,169.8,0,0,555,No,No
2024-03-03,Target,South,Competitor A,Cheddar 10oz,8.79,29,254.91,0,1,571,No,Yes
2024-03-03,Target,South,Competitor A,Variety 12pk,18.99,18,341.82,0,0,560,No,No
2024-03-03,Target,South,Competitor B,Cheddar 6oz,5.49,19,104.31,0,1,372,No,Yes
2024-03-03,Target,South,Competitor B,Caramel 6oz,5.29,13,68.77,0,0,384,No,No
2024-03-03,Target,South,Competitor B,Mix 10oz,8.04,19,152.76,1,0,356,Yes,No
2024-03-03,Target,South,Competitor B,Caramel 10oz,6.53,15,97.95,1,0,367,Yes,No
2024-03-03,Target,South,Competitor B,Cheddar 10oz,6.77,14,94.78,1,0,389,Yes,No
2024-03-03,Target,South,Competitor B,Variety 12pk,17.31,11,190.41,1,0,384,Yes,No
2024-03-03,Target,West,Garrett,Cheddar 6oz,5.49,23,126.27,0,1,430,No,Yes
2024-03-03,Target,West,Garrett,Caramel 6oz,4.19,21,87.99,1,0,413,Yes,No
2024-03-03,Target,West,Garrett,Mix 10oz,6.75,25,168.75,1,0,419,Yes,No
2024-03-03,Target,West,Garrett,Caramel 10oz,8.49,18,152.82,0,0,429,No,No
2024-03-03,Target,West,Garrett,Cheddar 10oz,8.79,15,131.85,0,0,402,No,No
2024-03-03,Target,West,Garrett,Variety 12pk,18.99,11,208.89,0,0,426,No,No
2024-03-03,Target,West,Competitor A,Cheddar 6oz,4.8,51,244.8,1,1,544,Yes,Yes
2024-03-03,Target,West,Competitor A,Caramel 6oz,5.29,22,116.38,0,0,576,No,No
2024-03-03,Target,West,Competitor A,Mix 10oz,6.98,41,286.18,1,0,550,Yes,No
2024-03-03,Target,West,Competitor A,Caramel 10oz,8.49,21,178.29,0,0,550,No,No
2024-03-03,Target,West,Competitor A,Cheddar 10oz,8.79,30,263.7,0,1,581,No,Yes
2024-03-03,Target,West,Competitor A,Variety 12pk,18.99,15,284.85,0,0,541,No,No
2024-03-03,Target,West,Competitor B,Cheddar 6oz,5.49,14,76.86,0,0,392,No,No
2024-03-03,Target,West,Competitor B,Caramel 6oz,5.29,13,68.77,0,0,370,No,No
2024-03-03,Target,West,Competitor B,Mix 10oz,8.99,12,107.88,0,0,382,No,No
2024-03-03,Target,West,Competitor B,Caramel 10oz,8.49,13,110.37,0,0,390,No,No
2024-03-03,Target,West,Competitor B,Cheddar 10oz,7.43,20,148.6,1,0,402,Yes,No
2024-03-03,Target,West,Competitor B,Variety 12pk,18.99,11,208.89,0,1,373,No,Yes
2024-03-03,Kroger,Midwest,Garrett,Cheddar 6oz,5.49,16,87.84,0,0,298,No,No
2024-03-03,Kroger,Midwest,Garrett,Caramel 6oz,5.29,12,63.48,0,0,282,No,No
2024-03-03,Kroger,Midwest,Garrett,Mix 10oz,8.99,13,116.87,0,0,271,No,No
2024-03-03,Kroger,Midwest,Garrett,Caramel 10oz,7.61,15,114.15,1,0,273,Yes,No
2024-03-03,Kroger,Midwest,Garrett,Cheddar 10oz,7.26,18,130.68,1,0,274,Yes,No
2024-03-03,Kroger,Midwest,Garrett,Variety 12pk,18.99,9,170.91,0,0,287,No,No
2024-03-03,Kroger,Midwest,Competitor A,Cheddar 6oz,5.49,28,153.72,0,0,607,No,No
2024-03-03,Kroger,Midwest,Competitor A,Caramel 6oz,5.29,34,179.86,0,1,603,No,Yes
2024-03-03,Kroger,Midwest,Competitor A,Mix 10oz,8.99,38,341.62,0,0,614,No,No
2024-03-03,Kroger,Midwest,Competitor A,Caramel 10oz,7.81,40,312.4,1,0,612,Yes,No
2024-03-03,Kroger,Midwest,Competitor A,Cheddar 10oz,8.79,29,254.91,0,0,583,No,No
2024-03-03,Kroger,Midwest,Competitor A,Variety 12pk,18.99,21,398.79,0,0,568,No,No
2024-03-03,Kroger,Midwest,Competitor B,Cheddar 6oz,4.52,18,81.36,1,0,331,Yes,No
2024-03-03,Kroger,Midwest,Competitor B,Caramel 6oz,4.79,25,119.75,1,0,351,Yes,No
2024-03-03,Kroger,Midwest,Competitor B,Mix 10oz,8.99,17,152.83,0,0,344,No,No
2024-03-03,Kroger,Midwest,Competitor B,Caramel 10oz,8.49,11,93.39,0,0,335,No,No
2024-03-03,Kroger,Midwest,Competitor B,Cheddar 10oz,6.81,14,95.34,1,0,335,Yes,No
2024-03-03,Kroger,Midwest,Competitor B,Variety 12pk,15.08,14,211.12,1,0,348,Yes,No
2024-03-03,Kroger,Northeast,Garrett,Cheddar 6oz,5.49,12,65.88,0,0,283,No,No
2024-03-03,Kroger,Northeast,Garrett,Caramel 6oz,5.29,13,68.77,0,0,281,No,No
2024-03-03,Kroger,Northeast,Garrett,Mix 10oz,8.99,12,107.88,0,0,286,No,No
2024-03-03,Kroger,Northeast,Garrett,Caramel 10oz,8.49,8,67.92,0,0,273,No,No
2024-03-03,Kroger,Northeast,Garrett,Cheddar 10oz,8.79,9,79.11,0,0,272,No,No
2024-03-03,Kroger,Northeast,Garrett,Variety 12pk,18.99,9,170.91,0,1,280,No,Yes
2024-03-03,Kroger,Northeast,Competitor A,Cheddar 6oz,5.49,29,159.21,0,0,599,No,No
2024-03-03,Kroger,Northeast,Competitor A,Caramel 6oz,5.29,32,169.28,0,1,628,No,Yes
2024-03-03,Kroger,Northeast,Competitor A,Mix 10oz,8.99,35,314.65,0,0,636,No,No
2024-03-03,Kroger,Northeast,Competitor A,Caramel 10oz,8.49,31,263.19,0,0,597,No,No
2024-03-03,Kroger,Northeast,Competitor A,Cheddar 10oz,8.79,27,237.33,0,0,619,No,No
2024-03-03,Kroger,Northeast,Competitor A,Variety 12pk,17.04,27,460.08,1,0,631,Yes,No
2024-03-03,Kroger,Northeast,Competitor B,Cheddar 6oz,5.49,15,82.35,0,0,339,No,No
2024-03-03,Kroger,Northeast,Competitor B,Caramel 6oz,5.29,13,68.77,0,0,347,No,No
2024-03-03,Kroger,Northeast,Competitor B,Mix 10oz,8.99,14,125.86,0,0,355,No,No
2024-03-03,Kroger,Northeast,Competitor B,Caramel 10oz,8.49,11,93.39,0,0,341,No,No
2024-03-03,Kroger,Northeast,Competitor B,Cheddar 10oz,8.79,13,114.27,0,0,338,No,No
2024-03-03,Kroger,Northeast,Competitor B,Variety 12pk,17.2,12,206.4,1,1,347,Yes,Yes
2024-03-03,Kroger,South,Garrett,Cheddar 6oz,5.49,11,60.39,0,0,274,No,No
2024-03-03,Kroger,South,Garrett,Caramel 6oz,5.29,8,42.32,0,0,292,No,No
2024-03-03,Kroger,South,Garrett,Mix 10oz,8.99,11,98.89,0,0,280,No,No
2024-03-03,Kroger,South,Garrett,Caramel 10oz,8.49,9,76.41,0,0,287,No,No
2024-03-03,Kroger,South,Garrett,Cheddar 10oz,8.79,10,87.9,0,1,268,No,Yes
2024-03-03,Kroger,South,Garrett,Variety 12pk,18.99,8,151.92,0,0,284,No,No
2024-03-03,Kroger,South,Competitor A,Cheddar 6oz,5.49,29,159.21,0,0,599,No,No
2024-03-03,Kroger,South,Competitor A,Caramel 6oz,4.86,32,155.52,1,0,595,Yes,No
2024-03-03,Kroger,South,Competitor A,Mix 10oz,8.99,36,323.64,0,1,598,No,Yes
2024-03-03,Kroger,South,Competitor A,Caramel 10oz,7.29,25,182.25,1,0,570,Yes,No
2024-03-03,Kroger,South,Competitor A,Cheddar 10oz,7.3,31,226.3,1,0,604,Yes,No
2024-03-03,Kroger,South,Competitor A,Variety 12pk,18.99,24,455.76,0,1,626,No,Yes
2024-03-03,Kroger,South,Competitor B,Cheddar 6oz,5.49,15,82.35,0,0,353,No,No
2024-03-03,Kroger,South,Competitor B,Caramel 6oz,5.29,12,63.48,0,0,340,No,No
2024-03-03,Kroger,South,Competitor B,Mix 10oz,8.08,18,145.44,1,1,335,Yes,Yes
2024-03-03,Kroger,South,Competitor B,Caramel 10oz,8.49,10,84.9,0,0,327,No,No
2024-03-03,Kroger,South,Competitor B,Cheddar 10oz,8.79,12,105.48,0,0,350,No,No
2024-03-03,Kroger,South,Competitor B,Variety 12pk,16.48,11,181.28,1,0,342,Yes,No
2024-03-03,Kroger,West,Garrett,Cheddar 6oz,4.93,19,93.67,1,1,276,Yes,Yes
2024-03-03,Kroger,West,Garrett,Caramel 6oz,5.29,9,47.61,0,0,273,No,No
2024-03-03,Kroger,West,Garrett,Mix 10oz,8.99,12,107.88,0,0,279,No,No
2024-03-03,Kroger,West,Garrett,Caramel 10oz,7.2,15,108.0,1,1,283,Yes,Yes
2024-03-03,Kroger,West,Garrett,Cheddar 10oz,8.79,10,87.9,0,0,280,No,No
2024-03-03,Kroger,West,Garrett,Variety 12pk,18.99,7,132.93,0,0,278,No,No
2024-03-03,Kroger,West,Competitor A,Cheddar 6oz,4.72,37,174.64,1,0,619,Yes,No
2024-03-03,Kroger,West,Competitor A,Caramel 6oz,5.29,24,126.96,0,0,600,No,No
2024-03-03,Kroger,West,Competitor A,Mix 10oz,7.23,42,303.66,1,0,618,Yes,No
2024-03-03,Kroger,West,Competitor A,Caramel 10oz,7.58,25,189.5,1,1,569,Yes,Yes
2024-03-03,Kroger,West,Competitor A,Cheddar 10oz,8.79,29,254.91,0,1,622,No,Yes
2024-03-03,Kroger,West,Competitor A,Variety 12pk,18.99,19,360.81,0,0,626,No,No
2024-03-03,Kroger,West,Competitor B,Cheddar 6oz,4.63,17,78.71,1,0,356,Yes,No
2024-03-03,Kroger,West,Competitor B,Caramel 6oz,5.29,12,63.48,0,1,330,No,Yes
2024-03-03,Kroger,West,Competitor B,Mix 10oz,8.99,16,143.84,0,0,340,No,No
2024-03-03,Kroger,West,Competitor B,Caramel 10oz,8.49,9,76.41,0,0,346,No,No
2024-03-03,Kroger,West,Competitor B,Cheddar 10oz,7.89,10,78.9,1,0,339,Yes,No
2024-03-03,Kroger,West,Competitor B,Variety 12pk,18.99,9,170.91,0,0,348,No,No
2024-03-03,Walgreens,Midwest,Garrett,Cheddar 6oz,5.49,9,49.41,0,0,231,No,No
2024-03-03,Walgreens,Midwest,Garrett,Caramel 6oz,4.73,8,37.84,1,0,209,Yes,No
2024-03-03,Walgreens,Midwest,Garrett,Mix 10oz,8.99,7,62.93,0,0,209,No,No
2024-03-03,Walgreens,Midwest,Garrett,Caramel 10oz,7.28,8,58.24,1,0,207,Yes,No
2024-03-03,Walgreens,Midwest,Garrett,Cheddar 10oz,6.62,10,66.2,1,0,210,Yes,No
2024-03-03,Walgreens,Midwest,Garrett,Variety 12pk,18.99,6,113.94,0,0,209,No,No
2024-03-03,Walgreens,Midwest,Competitor A,Cheddar 6oz,5.49,16,87.84,0,0,423,No,No
2024-03-03,Walgreens,Midwest,Competitor A,Caramel 6oz,5.29,19,100.51,0,1,429,No,Yes
2024-03-03,Walgreens,Midwest,Competitor A,Mix 10oz,7.86,27,212.22,1,0,390,Yes,No
2024-03-03,Walgreens,Midwest,Competitor A,Caramel 10oz,6.51,23,149.73,1,0,438,Yes,No
2024-03-03,Walgreens,Midwest,Competitor A,Cheddar 10oz,7.03,24,168.72,1,0,428,Yes,No
2024-03-03,Walgreens,Midwest,Competitor A,Variety 12pk,18.99,11,208.89,0,0,404,No,No
2024-03-03,Walgreens,Midwest,Competitor B,Cheddar 6oz,5.49,7,38.43,0,0,245,No,No
2024-03-03,Walgreens,Midwest,Competitor B,Caramel 6oz,5.29,9,47.61,0,0,263,No,No
2024-03-03,Walgreens,Midwest,Competitor B,Mix 10oz,8.99,10,89.9,0,1,259,No,Yes
2024-03-03,Walgreens,Midwest,Competitor B,Caramel 10oz,8.49,7,59.43,0,0,265,No,No
2024-03-03,Walgreens,Midwest,Competitor B,Cheddar 10oz,8.79,6,52.74,0,0,253,No,No
2024-03-03,Walgreens,Midwest,Competitor B,Variety 12pk,18.99,5,94.95,0,0,256,No,No
2024-03-03,Walgreens,Northeast,Garrett,Cheddar 6oz,5.49,7,38.43,0,0,217,No,No
2024-03-03,Walgreens,Northeast,Garrett,Caramel 6oz,5.29,5,26.45,0,0,220,No,No
2024-03-03,Walgreens,Northeast,Garrett,Mix 10oz,8.99,7,62.93,0,0,208,No,No
2024-03-03,Walgreens,Northeast,Garrett,Caramel 10oz,8.49,5,42.45,0,0,201,No,No
2024-03-03,Walgreens,Northeast,Garrett,Cheddar 10oz,8.79,6,52.74,0,0,214,No,No
2024-03-03,Walgreens,Northeast,Garrett,Variety 12pk,18.99,5,94.95,0,1,210,No,Yes
2024-03-03,Walgreens,Northeast,Competitor A,Cheddar 6oz,4.19,21,87.99,1,0,424,Yes,No
2024-03-03,Walgreens,Northeast,Competitor A,Caramel 6oz,4.53,17,77.01,1,0,412,Yes,No
2024-03-03,Walgreens,Northeast,Competitor A,Mix 10oz,8.99,16,143.84,0,0,431,No,No
2024-03-03,Walgreens,Northeast,Competitor A,Caramel 10oz,8.49,12,101.88,0,0,422,No,No
2024-03-03,Walgreens,Northeast,Competitor A,Cheddar 10oz,7.77,23,178.71,1,0,419,Yes,No
2024-03-03,Walgreens,Northeast,Competitor A,Variety 12pk,18.99,13,246.87,0,1,431,No,Yes
2024-03-03,Walgreens,Northeast,Competitor B,Cheddar 6oz,5.49,7,38.43,0,0,253,No,No
2024-03-03,Walgreens,Northeast,Competitor B,Caramel 6oz,5.29,6,31.74,0,0,273,No,No
2024-03-03,Walgreens,Northeast,Competitor B,Mix 10oz,8.99,8,71.92,0,0,261,No,No
2024-03-03,Walgreens,Northeast,Competitor B,Caramel 10oz,8.49,7,59.43,0,0,259,No,No
2024-03-03,Walgreens,Northeast,Competitor B,Cheddar 10oz,7.81,8,62.48,1,0,246,Yes,No
2024-03-03,Walgreens,Northeast,Competitor B,Variety 12pk,18.99,4,75.96,0,0,265,No,No
2024-03-03,Walgreens,South,Garrett,Cheddar 6oz,5.49,7,38.43,0,0,214,No,No
2024-03-03,Walgreens,South,Garrett,Caramel 6oz,5.29,6,31.74,0,0,208,No,No
2024-03-03,Walgreens,South,Garrett,Mix 10oz,7.26,8,58.08,1,0,213,Yes,No
2024-03-03,Walgreens,South,Garrett,Caramel 10oz,6.83,7,47.81,1,1,218,Yes,Yes
2024-03-03,Walgreens,South,Garrett,Cheddar 10oz,8.79,5,43.95,0,0,205,No,No
2024-03-03,Walgreens,South,Garrett,Variety 12pk,16.82,5,84.1,1,1,207,Yes,Yes
2024-03-03,Walgreens,South,Competitor A,Cheddar 6oz,4.39,20,87.8,1,0,396,Yes,No
2024-03-03,Walgreens,South,Competitor A,Caramel 6oz,4.72,16,75.52,1,0,428,Yes,No
2024-03-03,Walgreens,South,Competitor A,Mix 10oz,8.99,14,125.86,0,0,406,No,No
2024-03-03,Walgreens,South,Competitor A,Caramel 10oz,8.49,12,101.88,0,0,424,No,No
2024-03-03,Walgreens,South,Competitor A,Cheddar 10oz,8.79,11,96.69,0,0,433,No,No
2024-03-03,Walgreens,South,Competitor A,Variety 12pk,18.99,7,132.93,0,0,403,No,No
2024-03-03,Walgreens,South,Competitor B,Cheddar 6oz,5.49,6,32.94,0,0,257,No,No
2024-03-03,Walgreens,South,Competitor B,Caramel 6oz,5.29,5,26.45,0,0,257,No,No
2024-03-03,Walgreens,South,Competitor B,Mix 10oz,8.99,9,80.91,0,1,244,No,Yes
2024-03-03,Walgreens,South,Competitor B,Caramel 10oz,8.49,5,42.45,0,0,259,No,No
2024-03-03,Walgreens,South,Competitor B,Cheddar 10oz,8.79,6,52.74,0,0,250,No,No
2024-03-03,Walgreens,South,Competitor B,Variety 12pk,18.99,3,56.97,0,0,249,No,No
2024-03-03,Walgreens,West,Garrett,Cheddar 6oz,4.88,10,48.8,1,0,210,Yes,No
2024-03-03,Walgreens,West,Garrett,Caramel 6oz,5.29,7,37.03,0,0,216,No,No
2024-03-03,Walgreens,West,Garrett,Mix 10oz,7.67,9,69.03,1,0,217,Yes,No
